0;0;0;
0;0;0;
0;0;0;
0;0;0;
28;9;1;
2754;282;35;
1874;700;88;
837;100;5;
88;58;2;
9289;2162;150;
43798;4686;67;
6511;708;12;
559;245;2;
66457;7235;451;
91762;15756;145;
28682;2197;29;
949;404;6;
169617;16448;488;
129899;34194;254;
86407;6105;54;
1001;333;13;
189414;30915;230;
641301;73165;464;
105015;11659;84;
2768;445;4;
663003;60728;1889;
1.3648e+06;135018;778;
346089;21543;124;
1077;504;8;
1.05531e+06;112831;3311;
1.84997e+06;204731;1004;
498762;32949;178;
1243;364;4;
571720;129522;2181;
2.74668e+06;305566;1330;
756108;55420;242;
5583;1833;10;
2.35467e+06;190638;495;
